STATECD,PLOT_FIADB,INVYR,pre.vpdmin,post.vpdmin
41,83551,2008,1.7259000838,1.7430000664
41,63950,2002,1.79450005885,1.8085000753
41,88299,2004,1.92345009455,1.9295000791
41,69527,2006,0.98820005065,1.139400059
41,91273,2008,1.0909500451,1.2673000575
41,72406,2005,1.1352000504,1.3627000689
41,64441,2007,0.9489500343,1.2023000419
41,93756,2009,1.01090005035,1.182030058
41,93532,2003,0.9004500389,1.0497000456
41,72351,2001,1.3183950603,1.5025000691
41,50652,2003,1.5163500905,1.6473000766
41,95602,2005,2.13070011735,2.4685001017
41,95164,2007,1.79870007635,2.0610001207
41,92196,2005,2.6276501298,2.9651000977
41,89118,2007,2.1334000826,2.3415000917
41,86559,2009,1.52520008085,1.5070400476
41,75199,2001,1.6071800649,1.5996000647
41,51651,2003,1.77760007375,1.7150000692
41,71693,2005,1.76820009345,1.8368000866
41,51582,2008,1.6791500716,2.0760001182
41,94231,2001,1.07565005715,1.17960006
41,79295,2005,0.97055004245,1.1359000503
41,87628,2007,0.97955004875,1.1936000586
41,79647,2009,1.2523500592,1.3372200607
41,67127,2006,1.0250000476,1.2765000583000001
41,97414,2003,1.0873500615,1.2712000608
41,82537,2003,0.94775004985,1.0095000446
41,61061,2002,1.27135005595,1.261400056
41,97155,2004,2.13155011535,2.402800119
41,59243,2001,1.5125000656,1.6647000791
41,79959,2009,1.79910008905,1.6431500673
41,66849,2001,0.55135002745,0.4938000203
41,73442,2003,1.1687500626,1.2454000711
41,95151,2005,1.1728500426,1.2990000605
41,82826,2007,1.0984000623,1.3042000651
41,92567,2001,1.00552004575,1.1239000499
41,74167,2003,1.2082000554,1.2739000678
41,50669,2001,1.4187850655,1.5473000646
41,95266,2005,1.25005006795,1.355300045
41,91756,2009,1.6707000732,1.6830100775
41,63383,2004,1.4411500752,1.7315001011
41,88326,2008,1.41100007295,1.5264000534
41,52550,2002,1.38990004945,1.4005000474
41,57804,2004,1.4389000624000001,1.3982000709
41,60658,2006,1.43955006005,1.4882000684
41,71310,2001,1.93139010065,2.0648001075
41,51624,2003,1.87865008715,1.8730000972
41,88647,2004,1.18810005775,1.209000063
41,66910,2006,1.20375005315,1.2579000592
41,79077,2005,1.3119500697,1.4242000818
41,62175,2007,1.7349500835,1.7694001078
41,94464,2009,1.3646000594,1.4196900606
41,85787,2002,1.07760004105,1.2419000625
41,92112,2006,0.8780500471,1.1609000385000001
41,57042,2002,1.3480000615,1.5297000766
41,72181,2006,1.27960005405,1.3293000579
