State_Plot,LAT,LON,n
508046,37.449718,-122.469035,2
508056,33.716918,-116.449635,2
508066,37.483913,-122.548265,2
508076,37.408468,-122.478536,1
508086,39.51634,-120.702917,2
508096,37.289966,-122.434128,2
508106,37.17142,-122.389935,2
508116,38.282242,-122.020684,1
508126,37.2092,-122.424567,2
508136,37.166196,-122.449674,2
508146,37.128423,-122.41506,2
508176,35.086162,-116.206252,2
508196,35.479964,-116.634004,2
508246,37.080303,-120.969174,1
508276,34.124066,-115.159119,2
508336,40.766956,-120.875258,1
508366,41.738843,-123.395718,1
508406,34.941297,-115.395097,1
508426,37.75805,-121.425654,2
508446,36.341452,-119.822715,2
508456,34.493275,-115.073978,1
508556,39.392826,-120.262698,1
508596,39.797014,-121.700852,1
508626,33.8962,-116.655158,1
508716,40.262486,-123.26668600000001,1
508746,35.010289,-115.69544,2
508786,37.715017,-120.062717,2
508816,38.249678,-122.976585,2
508826,40.372333,-122.651428,2
508836,34.311622,-116.045336,2
508846,38.139588,-122.966829,2
508856,37.983913,-122.885184,2
508866,37.978361,-122.945576,2
508876,38.053378,-123.016622,2
508886,40.920029,-121.983294,1
508896,37.94636,-122.849766,2
508906,37.908787,-122.814384,2
508916,37.876663,-122.718743,2
508926,37.76842,-123.009682,1
508966,33.25719,-117.366524,1
508976,33.01732,-116.660661,1
508986,39.95479,-122.450981,1
509016,35.431466,-118.591182,2
509066,39.626492,-123.275692,2
509086,35.196481,-120.188712,2
509106,34.834936,-116.20688,2
509126,34.555928,-117.067101,2
509156,38.468811,-121.385752,1
509166,35.243263,-116.214012,2
509176,33.618879,-115.844669,2
509186,40.084316,-121.686093,2
509206,38.926448,-123.303298,2
509216,34.785811,-114.931254,2
509226,33.504671,-117.354337,2
509236,36.76432,-121.216107,2
509246,38.509143,-123.281659,1
509256,38.482285,-123.228367,1
509266,38.476501,-123.289167,1
509276,36.556344,-118.424989,1
509286,38.370053,-123.120579,2
509296,35.19536,-114.929011,1
509306,35.048102,-116.412495,1
509316,38.177086,-123.002458,2
509326,38.096486,-122.991735,2
509336,33.933736,-118.250822,2
509346,36.165331,-121.611556,2
509356,37.800291,-123.105319,2
509366,37.762812,-123.069901,2
509376,36.791367,-119.086734,2
509386,39.855497,-121.666095,2
