STATECD,PLOT_FIADB,INVYR,pre.vpdmax,post.vpdmax
53,85271,2003,13.512950754,13.480700683
53,66180,2002,8.28300030235,8.9390003673
53,97459,2008,10.92630057405,11.2870006571
53,81947,2004,10.25460038265,10.0189003942
53,96513,2005,9.60900039635,9.7203004358
53,89574,2006,10.41535048535,10.6566005701
53,99031,2002,8.3720003846,8.7827002529
53,74139,2004,8.4447503566,8.6941004277
53,56736,2006,9.7637004854,9.7733005531
53,64269,2008,9.50420041075,9.8974004752
53,96165,2003,8.1960503576,8.6901003838
53,53544,2005,7.41735033985,8.2464003564
53,65835,2007,10.9421505455,11.5837004657
53,98790,2009,12.3292006015,12.937170506
53,58844,2002,10.17710032485,10.4345005046
53,84218,2004,8.5637503388,8.9019005778
53,88764,2006,9.87685036675,10.1002005581
53,91686,2009,16.275850725,16.273350524
53,94671,2006,15.8142508515,16.254400445
53,51998,2008,15.1716507435,15.690800762
53,68604,2006,15.58825078,15.854800605
53,51806,2003,9.25005049715,8.8988002774
53,76622,2005,8.58905041225,8.4465002537
53,75381,2004,6.57935035235,7.0372003079
53,60718,2004,12.461300564,12.661400508
53,76519,2003,7.4287503481,7.7974003791
53,78432,2005,8.5807003496,8.9254004484
53,73292,2007,8.44275035835,8.8116004944
53,84761,2002,16.7278506755,16.021600818
53,74603,2004,7.2391503811,6.4011003017
53,93488,2005,9.0850503922,9.1423004149
53,90585,2002,7.3165003776,7.1004002571000004
53,90457,2008,9.74465050735,9.528100395900001
53,76591,2009,8.598650384,8.8328901766
53,72306,2006,10.74390063265,11.3805005078
53,88116,2004,6.08365032675,4.9942001818
53,79462,2006,6.4306002855,5.7565002443
53,85466,2004,9.2365003586,9.4786003123
53,95091,2009,11.89960055375,12.573330785
53,91224,2002,7.4565004349,6.9445003033
53,57874,2006,6.9877503633,7.1833003521
53,58031,2005,9.29705042785,9.6679004673
53,57584,2005,8.42060036665,8.5273003581
53,83079,2009,10.44270052935,10.5190202714
53,51217,2006,12.268700552,12.622200584
53,87957,2008,11.8087505345,12.427400589000001
53,93771,2008,10.56470045975,10.297800541
53,81513,2006,10.8418504241,10.6785004614
53,81486,2004,9.0494003774,9.856900596500001
53,61158,2004,7.6545503139,7.8646002292
53,97917,2009,9999,9999
53,70984,2008,9.21580052365,8.9087005135
53,92584,2004,9.8463006018,9.5147004133
53,71744,2002,8.3831004381,8.6666003225
53,54276,2004,8.65500047205,8.5626002785
53,55044,2006,10.52195043515,9.76900053
53,91346,2009,7.34790036675,7.9207602502
53,50998,2009,8.08255040655,7.6541003706
53,59931,2007,7.2462503434,7.7717003346
53,98987,2009,6.948050356,6.7795802593
53,64672,2003,9.39465036405,9.0850006102
53,79110,2003,7.2447003365,7.5498003006
53,53769,2007,10.70365052055,10.1521004686
53,77997,2002,7.37890036095,7.8999004841
53,58704,2009,11.014900446,10.2054203989
53,86064,2003,10.9158005235,10.1706005092
53,98812,2004,9.15595054635,9.0462005617
53,66946,2006,9.15735039615,9.106200360899999
53,80619,2003,11.946150636,12.397700787
53,97107,2008,10.54310045355,9.9486004825
53,90833,2005,9.12860054975,9.2316005708
53,64271,2007,7.33900036815,7.7490004061999995
53,68956,2003,8.2608003616,9.0430005072
53,76436,2007,6.7746003627,6.3820002554999995
53,94253,2004,10.5734504701,9.932000350900001
53,75156,2009,8.6966504097,8.6832502846
53,79122,2008,10.262200499,10.9114005082
53,68579,2009,9.85220055505,9.3193503382
53,89824,2008,11.09335055295,11.6384007461
53,86731,2004,8.29585039625,8.9671004773
53,70714,2002,8.580700469,9.4728004458
53,85455,2005,10.50550046025,9.8554003714
53,66683,2009,10.346550559699999,9.8417003643
53,61021,2009,11.6568005085,12.146040438
53,69736,2008,10.8197505948,11.4190007211
53,73119,2006,9.527100420250001,8.7307004446
53,51556,2003,10.164200354,9.8166005137
53,92968,2003,11.2542006025,11.967400551
53,90943,2005,14.9795507905,15.264300632000001
53,98281,2002,8.8941504479,8.8767004487
53,53450,2004,10.1985003475,9.8370004657
53,89220,2008,8.14365046025,8.8124002932
53,94683,2007,10.04655046425,10.7641005521
53,76989,2004,9.4168004038,8.9993004799
53,55231,2006,8.712550306099999,8.853000307
53,86108,2008,9.09030041655,9.372200585
53,83141,2008,9.653400469100001,10.2116004938
53,94068,2005,9.7427005289,9.3707004545
53,69634,2005,9.17300043155,9.3464003566
53,78966,2009,9.85370035145,9.907760239
53,77487,2008,9.0166003704,9.6280004502
53,60668,2002,8.38785033235,9.7242005343
53,56387,2004,8.57800040265,9.2575004581000009
53,97364,2005,14.633850765,14.557900715
53,89836,2007,5.80555026535,5.4583002567
53,76119,2009,9.7901505954,9.4316002845
53,57772,2009,7.3692003250499996,7.6225302219
53,73423,2003,7.8892004013,8.79930048
53,82626,2005,10.2715005406,10.7951005003
53,91579,2009,7.89375030985,7.1740703107999995
53,72578,2008,8.15670044425,8.437300348299999
53,82857,2002,6.9617003917,7.8112004757
53,51830,2004,6.79750030045,6.3633002282
53,74058,2007,8.05255036355,7.3786004068
53,85694,2007,9.32085037235,8.959700298
53,50974,2004,6.11765029445,6.4119002819
53,67254,2006,6.32490031705,6.4079003333
53,54832,2004,7.4379003287000005,7.9982004166
53,74960,2002,5.86315031055,5.7772002698
53,61792,2005,6.85600032805,7.1638004303
53,96586,2007,7.26165027625,7.363900423
53,54226,2009,9.01125049575,8.7600102423
53,98532,2007,10.30465045015,11.3436005585
53,59843,2002,8.76125032885,9.9438004492
53,89359,2004,9.59510030705,10.4232006075
53,66412,2008,6.6650003434,7.1191003799
53,54157,2006,6.02995026115,5.4423002243
53,68019,2004,6.25260031235,6.4696002962
53,84754,2008,9.20015039455,9.0843004702
53,62054,2009,7.6033003569,8.0249402046
53,69293,2009,7.7838003635,8.2944903849
53,63275,2003,8.4847504854,8.8280003071
53,71347,2005,9.8669004923,10.450600337300001
53,97186,2004,9.59705057105,9.174400235
53,51650,2007,6.67120034695,6.647800255
53,89263,2002,9.48525052065,9.4387004847
53,84600,2002,6.61540024275,6.2596003054
53,69026,2008,7.65740032195,7.5697003365
53,52122,2008,8.8767504212,9.2956005093
53,95952,2003,6.6726002931999995,6.3505002975
53,99794,2006,13.425700665,13.798100567
53,56610,2008,9.78525033035,10.0652006144
53,65360,2006,9.74420051585,9.4800004954
53,76122,2008,9.2542504308,9.3078003885
53,65147,2009,7.0581003428499995,6.5784302236
53,82041,2005,8.05370035175,7.5529003621
53,84676,2004,8.36060039995,7.8324003695
53,75556,2007,9.45030055015,9.432500363099999
53,96768,2008,8.807650399,8.8161004068
53,89181,2007,13.1781506055,13.560700608
53,57809,2007,9.3140505318,9.5748004908
53,53227,2005,9.40380043995,9.423200417
53,91868,2007,9.0905503273,9.0989004614
53,70724,2006,7.8061502695,7.0643002035
53,89706,2003,12.8721506595,13.12820053
53,95268,2007,8.07805044655,8.0377004146
53,75705,2005,8.34950027475,7.8318002702
53,97546,2008,5.53535025125,6.0879003048
53,99686,2002,9.33130040175,9.1450004579
53,75396,2007,11.1110004896,11.4322006225
53,91591,2004,8.13090033545,8.0912003993
53,82597,2009,8.3557004691,8.0815002919
53,70316,2004,11.1921505928,11.743800545
53,69304,2007,14.9714006425,15.780100822
53,55570,2002,12.854000616,13.630700779
53,50590,2008,6.88905029295,7.0097002505
53,77703,2006,8.38195037835,7.931200265799999
53,93681,2008,8.1469004631,7.9794003964
53,67327,2002,8.3574504615,8.7836004257
53,88060,2002,8.1015502452,8.3816004276
53,68964,2004,7.9450503826,7.9492004395
53,65300,2006,8.02320041655,7.8362003804
53,86639,2008,8.4665505172,8.4831002712
53,98038,2002,8.9639504434,8.8863005163
53,53982,2002,12.5959005835,13.563800621
53,87612,2009,7.0583003282,7.0219002246999995
53,79934,2005,7.9860504151,8.0490003586
53,71085,2007,8.13075036985,8.1419003487
53,83961,2009,8.74115037925,9.0216503149
53,69880,2009,7.79190034865,7.6233103275000005
53,63911,2003,8.0043504237,7.7611004351999995
53,63958,2009,7.48085036285,6.7763502597
53,75147,2008,8.14275038245,8.3543004036
53,89507,2007,8.670950389,8.5306003574000009
53,81644,2009,8.5768504143,8.4363701822
53,95901,2007,12.2012004865,12.516600513
53,93512,2002,7.02655029295,6.9362003326
53,88942,2006,7.9260003566,7.4605003834999994
53,89752,2009,9.32875037175,8.1090003014
53,71979,2003,7.0253002881499995,6.434300375
