puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
93918_41_23,1901041,41,1,19,1,411703,2017
76629_41_21,15703041,41,3,157,1,411703,2017
99708_41_37,12303041,41,3,123,1,411803,2018
62453_41_25,12303041,41,3,123,1,411803,2018
91399_41_25,12303041,41,3,123,1,411803,2018
87200_41_25,12303041,41,3,123,1,411703,2017
67828_41_37,12303041,41,3,123,1,411703,2017
73018_41_25,12303041,41,3,123,1,411803,2018
73934_41_23,6901041,41,1,69,1,411803,2018
59020_41_25,12303041,41,3,123,1,411703,2017
64417_41_49,17403041,41,3,174,1,411703,2017
82537_41_23,12303041,41,3,123,1,411803,2018
51182_41_25,12303041,41,3,123,1,411803,2018
52014_41_25,17403041,41,3,174,1,411703,2017
55314_41_25,12303041,41,3,123,1,411703,2017
90591_41_49,17403041,41,3,174,1,411703,2017
81839_41_25,12303041,41,3,123,1,411803,2018
67748_41_25,12303041,41,3,123,1,411703,2017
88534_41_25,12303041,41,3,123,1,411703,2017
51510_41_25,12403041,41,3,124,1,411703,2017
53230_41_25,12303041,41,3,123,1,411703,2017
55982_41_25,12303041,41,3,123,1,411803,2018
73729_41_23,8001041,41,1,80,1,411703,2017
62846_41_49,17403041,41,3,174,1,411703,2017
51494_41_37,12303041,41,3,123,1,411803,2018
82519_41_23,1801041,41,1,18,1,411703,2017
82573_41_25,1701041,41,1,17,1,411903,2019
81748_41_25,17403041,41,3,174,1,411703,2017
69115_41_13,17403041,41,3,174,1,411703,2017
69284_41_23,17403041,41,3,174,1,411703,2017
65069_41_45,12303041,41,3,123,1,411803,2018
72152_41_59,15703041,41,3,157,1,412103,2021
99488_41_59,15703041,41,3,157,1,412103,2021
71318_41_59,15703041,41,3,157,1,411703,2017
66594_41_39,19003041,41,3,190,1,411703,2017
54560_41_39,13003041,41,3,130,1,411703,2017
72631_41_39,13403041,41,3,134,1,411703,2017
90048_41_45,12303041,41,3,123,1,411703,2017
76318_41_47,15503041,41,3,155,1,411903,2019
51141_41_63,17403041,41,3,174,1,411703,2017
83716_41_63,17403041,41,3,174,1,411703,2017
60897_41_63,7201041,41,1,72,1,411803,2018
69644_41_63,17403041,41,3,174,1,411703,2017
90168_41_63,15703041,41,3,157,1,411703,2017
71335_41_63,5801041,41,1,58,1,411803,2018
81731_41_63,5901041,41,1,59,1,411703,2017
76188_41_63,17403041,41,3,174,1,411703,2017
51385_41_63,5901041,41,1,59,1,411703,2017
73779_41_63,16703041,41,3,167,1,411703,2017
50870_41_41,11803041,41,3,118,1,411703,2017
83542_41_41,15303041,41,3,153,1,411703,2017
68747_41_41,14903041,41,3,149,1,411703,2017
68400_41_41,4201041,41,1,42,1,411703,2017
89225_41_25,8001041,41,1,80,1,411703,2017
95732_41_25,17503041,41,3,175,1,411703,2017
64261_41_25,17403041,41,3,174,1,411703,2017
95678_41_25,12303041,41,3,123,1,411703,2017
96083_41_25,15703041,41,3,157,1,411703,2017
79471_41_25,17403041,41,3,174,1,411703,2017
71168_41_25,12303041,41,3,123,1,411803,2018
77237_41_25,12303041,41,3,123,1,411803,2018
95872_41_27,15303041,41,3,153,1,411703,2017
57279_41_27,2501041,41,1,25,1,411803,2018
85682_41_27,2501041,41,1,25,1,411803,2018
79052_41_27,10302041,41,2,103,1,411803,2018
87523_41_39,6101041,41,1,61,1,411703,2017
78534_41_19,5301041,41,1,53,1,411703,2017
76481_41_43,17203041,41,3,172,1,411703,2017
89307_41_39,19003041,41,3,190,1,411703,2017
70778_41_19,13303041,41,3,133,1,411703,2017
78814_41_35,13303041,41,3,133,1,411703,2017
