PLT_CN,STATECD,INVYR,PLOT_FIADB
29880229010497,6,2009,53420
23965323010900,6,2002,53424
22931799010497,6,2008,53434
23798974010900,6,2002,53464
25012494010900,6,2004,53473
24994499010900,6,2004,53482
13094573010497,6,2005,53483
22930038010497,6,2008,53490
22953215010497,6,2007,53499
24988244010900,6,2004,53515
13179494010497,6,2005,53516
29880249010497,6,2009,53519
29879807010497,6,2009,53530
23690151010900,6,2001,53560
23755895010900,6,2001,53570
22953434010497,6,2007,53578
29879359010497,6,2009,53584
23963092010900,6,2002,53615
13107685010497,6,2005,53648
13079239010497,6,2005,53654
23749238010900,6,2001,53655
13069265010497,6,2005,53662
22953389010497,6,2007,53697
23693258010900,6,2001,53713
13068008010497,6,2005,53715
22931765010497,6,2008,53723
23754752010900,6,2001,53741
29879960010497,6,2009,53764
23984854010900,6,2002,53770
25150238010900,6,2004,53771
22931876010497,6,2008,53785
29881265010497,6,2009,53786
22953565010497,6,2007,53816
25061782010900,6,2004,53820
25061943010900,6,2004,53822
29881217010497,6,2009,53827
25161396010900,6,2004,53842
22953402010497,6,2007,53845
23822365010900,6,2002,53850
13108859010497,6,2005,53885
8929057010901,6,2006,53891
24321890010900,6,2003,53892
23971745010900,6,2002,53897
8909732010901,6,2006,53915
25038339010900,6,2004,53923
8947265010901,6,2006,53930
22953198010497,6,2007,53939
24225858010900,6,2003,53951
23977033010900,6,2002,53979
22953350010497,6,2007,53985
23777028010900,6,2002,53993
29879352010497,6,2009,53995
25145213010900,6,2004,54015
8983755010901,6,2005,54059
24224827010900,6,2003,54060
22931637010497,6,2008,54075
23949240010900,6,2002,54089
22953382010497,6,2007,54093
23989853010900,6,2002,54130
24278526010900,6,2003,54147
22953556010497,6,2007,54153
23779050010900,6,2002,54163
22931955010497,6,2008,54192
23940224010900,6,2002,54204
22952993010497,6,2007,54207
24327917010900,6,2003,54216
23738076010900,6,2001,54228
22953133010497,6,2007,54249
24332145010900,6,2003,54258
23968128010900,6,2002,54261
24997569010900,6,2004,54283
22953407010497,6,2007,54312
8946094010901,6,2006,54327
22953603010497,6,2007,54332
25149291010900,6,2004,54352
13232562010497,6,2001,54359
25120367010900,6,2004,54363
25150447010900,6,2004,54385
29880052010497,6,2009,54401
24327439010900,6,2003,54404
29880419010497,6,2009,54412
22953539010497,6,2007,54424
22953567010497,6,2007,54425
13187064010497,6,2005,54430
29879360010497,6,2009,54446
8939564010901,6,2006,54463
29879097010497,6,2009,54465
22953568010497,6,2007,54467
23962454010900,6,2002,54469
29880390010497,6,2009,54483
29878944010497,6,2009,54487
13159749010497,6,2005,54496
22953518010497,6,2007,54518
24237975010900,6,2003,54520
8889620010901,6,2006,54570
13123664010497,6,2005,54574
29879313010497,6,2009,54580
23994559010900,6,2002,54584
25140305010900,6,2004,54585
25142887010900,6,2004,54617
8959392010901,6,2006,54625
8984099010901,6,2005,54632
24296126010900,6,2003,54638
22953594010497,6,2007,54639
22929953010497,6,2008,54646
22931615010497,6,2008,54682
23667493010900,6,2001,54690
22953318010497,6,2007,54692
25018115010900,6,2004,54698
29880882010497,6,2009,54703
13174389010497,6,2005,54721
23683974010900,6,2001,54725
23795745010900,6,2002,54731
23818570010900,6,2002,54748
29880633010497,6,2009,54751
25147564010900,6,2004,54765
23751425010900,6,2001,54777
23658682010900,6,2001,54781
8918915010901,6,2006,54785
23707128010900,6,2001,54800
23755224010900,6,2001,54827
24313238010900,6,2003,54835
23941562010900,6,2002,54837
22931754010497,6,2008,54880
22953271010497,6,2007,54904
23689471010900,6,2001,54910
23713498010900,6,2001,54915
25004556010900,6,2004,54925
24296749010900,6,2003,54952
22931685010497,6,2008,54959
24243025010900,6,2003,54963
23659451010900,6,2001,54972
22931684010497,6,2008,55000
13232860010497,6,2001,55002
22953535010497,6,2007,55008
13142700010497,6,2005,55020
13149524010497,6,2005,55050
23972210010900,6,2002,55060
22953171010497,6,2007,55065
8966055010901,6,2006,55071
22931214010497,6,2008,55085
22953388010497,6,2007,55087
29879550010497,6,2009,55092
24219493010900,6,2003,55129
24233382010900,6,2003,55136
22931935010497,6,2008,55140
8893279010901,6,2006,55146
23991761010900,6,2002,55147
8940917010901,6,2006,55165
8924828010901,6,2006,55187
22953443010497,6,2007,55196
22931829010497,6,2008,55197
23965832010900,6,2002,55198
24248332010900,6,2003,55230
22931577010497,6,2008,55256
29880066010497,6,2009,55264
